Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,566,Nigeria,5510,Production,1491.01,Oil palm fruit,2003,2003,t,8632000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5312,Area harvested,1491.01,Oil palm fruit,2004,2004,ha,3320000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5412,Yield,1491.01,Oil palm fruit,2004,2004,kg/ha,2620.5,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5510,Production,1491.01,Oil palm fruit,2004,2004,t,8700000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5312,Area harvested,1491.01,Oil palm fruit,2005,2005,ha,3350000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5412,Yield,1491.01,Oil palm fruit,2005,2005,kg/ha,2537.3,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5510,Production,1491.01,Oil palm fruit,2005,2005,t,8500000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5312,Area harvested,1491.01,Oil palm fruit,2006,2006,ha,3075000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5412,Yield,1491.01,Oil palm fruit,2006,2006,kg/ha,2699.2,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5510,Production,1491.01,Oil palm fruit,2006,2006,t,8300000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5312,Area harvested,1491.01,Oil palm fruit,2007,2007,ha,3150000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5412,Yield,1491.01,Oil palm fruit,2007,2007,kg/ha,2698.4,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5510,Production,1491.01,Oil palm fruit,2007,2007,t,8500000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5312,Area harvested,1491.01,Oil palm fruit,2008,2008,ha,3200000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5412,Yield,1491.01,Oil palm fruit,2008,2008,kg/ha,2656.3,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5510,Production,1491.01,Oil palm fruit,2008,2008,t,8500000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5312,Area harvested,1491.01,Oil palm fruit,2009,2009,ha,3200000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5412,Yield,1491.01,Oil palm fruit,2009,2009,kg/ha,2656.3,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5510,Production,1491.01,Oil palm fruit,2009,2009,t,8500000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5312,Area harvested,1491.01,Oil palm fruit,2010,2010,ha,3200000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5412,Yield,1491.01,Oil palm fruit,2010,2010,kg/ha,2500,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5510,Production,1491.01,Oil palm fruit,2010,2010,t,8000000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5312,Area harvested,1491.01,Oil palm fruit,2011,2011,ha,3200000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5412,Yield,1491.01,Oil palm fruit,2011,2011,kg/ha,2500,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5510,Production,1491.01,Oil palm fruit,2011,2011,t,8000000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5312,Area harvested,1491.01,Oil palm fruit,2012,2012,ha,3250000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5412,Yield,1491.01,Oil palm fruit,2012,2012,kg/ha,2492.3,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5510,Production,1491.01,Oil palm fruit,2012,2012,t,8100000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5312,Area harvested,1491.01,Oil palm fruit,2013,2013,ha,3000000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5412,Yield,1491.01,Oil palm fruit,2013,2013,kg/ha,2666.7,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5510,Production,1491.01,Oil palm fruit,2013,2013,t,8000000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5312,Area harvested,1491.01,Oil palm fruit,2014,2014,ha,3114347,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,566,Nigeria,5412,Yield,1491.01,Oil palm fruit,2014,2014,kg/ha,2633,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5510,Production,1491.01,Oil palm fruit,2014,2014,t,8200000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5312,Area harvested,1491.01,Oil palm fruit,2015,2015,ha,3229848,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,566,Nigeria,5412,Yield,1491.01,Oil palm fruit,2015,2015,kg/ha,2569.8,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5510,Production,1491.01,Oil palm fruit,2015,2015,t,8300000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5312,Area harvested,1491.01,Oil palm fruit,2016,2016,ha,3312313,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,566,Nigeria,5412,Yield,1491.01,Oil palm fruit,2016,2016,kg/ha,2566.2,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5510,Production,1491.01,Oil palm fruit,2016,2016,t,8500000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5312,Area harvested,1491.01,Oil palm fruit,2017,2017,ha,3545307,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,566,Nigeria,5412,Yield,1491.01,Oil palm fruit,2017,2017,kg/ha,2566.8,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5510,Production,1491.01,Oil palm fruit,2017,2017,t,9100000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5312,Area harvested,1491.01,Oil palm fruit,2018,2018,ha,3735292,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,566,Nigeria,5412,Yield,1491.01,Oil palm fruit,2018,2018,kg/ha,2570.1,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5510,Production,1491.01,Oil palm fruit,2018,2018,t,9600000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5312,Area harvested,1491.01,Oil palm fruit,2019,2019,ha,3809946,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,566,Nigeria,5412,Yield,1491.01,Oil palm fruit,2019,2019,kg/ha,2569.8,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5510,Production,1491.01,Oil palm fruit,2019,2019,t,9790903.37,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,566,Nigeria,5312,Area harvested,1491.01,Oil palm fruit,2020,2020,ha,3891929,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,566,Nigeria,5412,Yield,1491.01,Oil palm fruit,2020,2020,kg/ha,2569.4,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5510,Production,1491.01,Oil palm fruit,2020,2020,t,10000000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5312,Area harvested,1491.01,Oil palm fruit,2021,2021,ha,4087000,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,566,Nigeria,5412,Yield,1491.01,Oil palm fruit,2021,2021,kg/ha,2569.1,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5510,Production,1491.01,Oil palm fruit,2021,2021,t,10500000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5312,Area harvested,1491.01,Oil palm fruit,2022,2022,ha,4323296,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,566,Nigeria,5412,Yield,1491.01,Oil palm fruit,2022,2022,kg/ha,2567.5,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5510,Production,1491.01,Oil palm fruit,2022,2022,t,11100000,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5312,Area harvested,1491.01,Oil palm fruit,2023,2023,ha,4520090,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,566,Nigeria,5412,Yield,1491.01,Oil palm fruit,2023,2023,kg/ha,2565.8,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5510,Production,1491.01,Oil palm fruit,2023,2023,t,11597872.39,I,Value imputed by a receiving agency,
